type,date,year,month,day,observation_number,track,latitude,longitude,amplitude,speed_average,effective_radius,lat_origin,long_origin
cyclonic,1996-10-16,1996,10,16,142,102556,34.479861597861,-64.3375736359627,0.302929032258065,0.354896774193548,1.48678900148079,35.337459564209,-57.5431213378906
cyclonic,1996-11-15,1996,11,15.5,172.5,102556,34.4919690450033,-65.3144795735677,0.20545,0.408133333333333,0.955805580558056,35.337459564209,-57.5431213378906
cyclonic,1996-12-16,1996,12,16,203,102556,34.2092351605815,-65.9999773579259,0.254796774193548,0.489193548387097,0.848741325745478,35.337459564209,-57.5431213378906
cyclonic,1997-01-14,1997,1,14,232,102556,34.4977010091146,-66.7218356662326,0.0925925925925926,0.329548148148148,0.48954895489549,35.337459564209,-57.5431213378906
cyclonic,1996-07-30,1996,7,30.5,56.5,103169,35.6530685424805,-65.1888427734375,0.4192,0.76025,0.761476147614762,36.1197052001953,-63.8215026855469
cyclonic,1996-08-14,1996,8,14.8333333333333,71.8333333333333,103169,35.6375948588053,-65.6934992472331,0.557408333333333,1.00868333333333,0.763726372637264,36.1197052001953,-63.8215026855469
cyclonic,1996-09-16,1996,9,16,104,103169,35.6116312344869,-65.7767601013184,0.412466666666667,0.745583333333333,0.798042304230423,36.1197052001953,-63.8215026855469
cyclonic,1996-11-20,1996,11,20.5,169.5,103169,35.4269994735718,-67.7120208740234,0.274195,0.61818,0.676732673267327,36.1197052001953,-63.8215026855469
cyclonic,1996-12-16,1996,12,16,195,103169,34.4232594889979,-69.4970368416079,0.402890322580645,0.667041935483871,1.043276908336,36.1197052001953,-63.8215026855469
cyclonic,1997-01-16,1997,1,16,226,103169,34.216917222546,-68.9482914094002,0.215667741935484,0.569083870967742,0.716340988937604,36.1197052001953,-63.8215026855469
cyclonic,1997-02-14,1997,2,14.5,255.5,103169,34.6428327560425,-69.3030373709543,0.431660714285714,0.617746428571429,1.15798186961553,36.1197052001953,-63.8215026855469
cyclonic,1997-03-16,1997,3,16,285,103169,34.6310860418504,-70.4873726137223,0.418938709677419,0.693854838709678,0.979283412212189,36.1197052001953,-63.8215026855469
cyclonic,1997-04-15,1997,4,15.5,315.5,103169,34.0764194488525,-72.1795979817708,0.460446666666667,0.787873333333333,0.995904590459046,36.1197052001953,-63.8215026855469
cyclonic,1997-05-16,1997,5,16,346,103169,34.367235860517,-72.6045345183342,0.401151612903226,0.882748387096774,0.679335675503034,36.1197052001953,-63.8215026855469
cyclonic,1997-06-15,1997,6,15.5,376.5,103169,33.7060223897298,-73.4155364990234,0.25076,0.693733333333333,0.610531053105311,36.1197052001953,-63.8215026855469
